order_id,customer_id,order_date,total_amount
1,cust1,2024-12-21,404.48
2,cust2,2025-03-19,596.46
3,cust2,2024-12-05,835.58
4,cust2,2025-04-07,673.17
5,cust2,2025-08-04,421.0
6,cust2,2025-01-01,393.68
7,cust2,2025-03-16,743.29
8,cust2,2025-06-20,935.47
9,cust2,2024-12-19,94.28
10,cust2,2025-12-10,657.93
11,cust3,2025-09-10,137.59
12,cust3,2025-04-22,882.39
13,cust3,2025-01-26,637.34
14,cust3,2025-04-19,693.77
15,cust3,2025-03-16,143.71
16,cust3,2025-12-06,186.83
17,cust4,2025-04-28,230.13
18,cust5,2025-12-09,241.29
19,cust5,2025-03-27,10.73
20,cust5,2024-12-03,40.26
21,cust5,2025-05-16,480.8
22,cust5,2024-12-05,422.9
23,cust5,2025-09-02,217.26
24,cust5,2025-11-29,965.18
25,cust5,2025-05-15,979.17
26,cust5,2025-02-28,76.76
27,cust5,2025-09-20,600.64
28,cust6,2025-10-09,872.92
29,cust7,2025-01-30,475.06
30,cust7,2025-08-01,707.54
31,cust7,2025-09-25,58.32
32,cust8,2025-02-22,300.75
33,cust8,2025-08-06,191.71
34,cust8,2025-04-11,221.66
35,cust8,2025-05-07,878.43
36,cust8,2025-06-05,488.2
37,cust8,2025-10-03,453.61
38,cust8,2025-06-30,937.12
39,cust8,2025-06-10,451.31
40,cust8,2025-12-14,852.27
41,cust9,2025-03-09,50.42
42,cust10,2025-08-20,658.01
43,cust11,2025-10-28,166.67
44,cust11,2025-01-15,669.14
45,cust11,2025-06-04,841.37
46,cust12,2025-01-31,992.39
47,cust12,2025-09-20,714.84
48,cust12,2025-05-12,599.64
49,cust12,2025-03-21,421.86
50,cust12,2024-12-10,738.53
51,cust13,2024-12-11,652.55
52,cust13,2025-08-25,447.56
53,cust13,2025-06-27,472.02
54,cust14,2025-11-07,983.22
55,cust14,2025-06-25,526.71
56,cust14,2025-01-24,184.46
57,cust14,2025-09-15,114.21
58,cust15,2025-12-12,307.64
59,cust15,2025-06-16,733.93
60,cust15,2025-05-16,856.48
61,cust16,2025-03-11,676.92
62,cust16,2024-12-24,933.25
63,cust17,2025-03-20,178.45
64,cust17,2025-07-27,868.55
65,cust17,2025-07-04,90.11
66,cust17,2025-02-17,940.53
67,cust17,2025-08-10,506.34
68,cust17,2025-07-06,613.6
69,cust17,2025-06-29,410.27
70,cust17,2025-01-14,872.04
71,cust17,2025-06-01,179.57
72,cust17,2025-12-23,627.82
73,cust18,2025-12-13,270.35
74,cust18,2025-12-28,99.54
75,cust18,2025-08-06,414.65
76,cust18,2026-01-02,375.18
77,cust19,2025-10-05,821.19
78,cust19,2025-02-16,840.66
79,cust19,2025-08-30,441.07
80,cust19,2025-04-28,961.67
81,cust19,2025-04-01,810.41
82,cust19,2024-12-25,271.96
83,cust19,2025-12-23,233.7
84,cust19,2025-12-22,706.3
85,cust20,2025-09-04,150.29
86,cust20,2025-02-23,670.68
87,cust20,2025-02-21,388.85
88,cust20,2025-04-14,215.17
89,cust20,2025-10-03,205.7
90,cust20,2025-01-07,315.99
91,cust20,2025-12-07,606.26
92,cust21,2025-08-15,816.58
93,cust21,2025-06-14,396.44
94,cust21,2025-01-08,16.16
95,cust21,2025-11-01,947.28
96,cust21,2025-06-24,757.2
97,cust21,2025-02-25,355.47
98,cust21,2025-02-18,628.01
99,cust22,2025-12-27,321.12
100,cust23,2025-06-25,337.11
101,cust23,2025-10-22,180.79
102,cust24,2025-02-01,540.92
103,cust24,2025-11-04,61.68
104,cust24,2025-02-20,683.76
105,cust24,2025-09-24,590.61
106,cust25,2025-04-13,338.32
107,cust25,2025-03-14,689.52
108,cust25,2025-12-02,826.6
109,cust25,2025-06-21,104.08
110,cust25,2025-04-13,622.0
111,cust25,2025-02-25,301.09
112,cust26,2025-11-16,935.4
113,cust26,2025-04-07,938.92
114,cust26,2025-06-15,706.39
115,cust26,2024-12-17,659.57
116,cust26,2025-03-05,993.18
117,cust27,2025-03-01,692.89
118,cust28,2025-02-11,346.96
119,cust28,2025-02-20,446.96
120,cust29,2025-12-30,387.94
121,cust29,2025-10-26,401.85
122,cust29,2025-06-11,864.34
123,cust29,2025-02-07,165.02
124,cust29,2025-10-09,303.8
125,cust29,2025-06-12,509.84
126,cust29,2024-12-28,348.07
127,cust30,2025-03-20,946.7
128,cust30,2025-06-28,782.14
129,cust30,2025-03-24,514.79
130,cust30,2025-12-08,876.08
